Date,PC1,PC2,PC3,ConditionNumber,SpectralEntropy,Regime
2020-03-26,-2.086271181632617,0.5372666724191698,-0.8319198302441564,108.33341664902125,0.8002389758570436,Crisis
2020-03-27,-6.184677131914908,-0.9808512128896433,-0.5494772763784184,128.3353127750834,0.7836866117966218,Crisis
2020-03-30,-4.043316578126719,-0.009588289416908646,0.9626931553366997,135.31950497905135,0.7776571676352222,Crisis
2020-03-31,2.6124400350547052,-0.12368642569834298,0.3392887227333626,137.9295186916714,0.7761667176278362,Trend Market
2020-04-01,-0.5117129653634563,-0.9762858749847125,-0.9573445087665284,136.84963583719696,0.7777163068186564,Range Market
2020-04-02,1.168759331154496,2.618653682468636,-1.1568989208092468,138.98758828180618,0.7789963784405701,Range Market
2020-04-03,1.529910549065389,0.37508927195567293,-1.8977162392806115,142.40240819035748,0.7805956654522926,Range Market
2020-04-06,1.9921432962593602,1.7619795806839236,1.0226436537963535,139.5529825363958,0.7802009426629511,Range Market
2020-04-07,-1.0453845233055798,-0.38602302763426527,-1.2881349429219067,139.06122722165148,0.7836450260305108,Range Market
2020-04-08,-2.316939566916161,1.3308271331179753,-0.42513676913858356,152.4142892586268,0.78225296577309,Crisis
2020-04-09,-0.7203000956356841,0.26541739782433693,-1.457527922882067,156.28228722117942,0.7845694237819232,Range Market
2020-04-10,-1.8308764372627344,0.3166498643650884,-0.24080581656435646,158.71903902335347,0.7840710047023237,Range Market
2020-04-13,-0.3648587275840148,0.10542338056104458,-0.1659290377790262,157.30663747888906,0.784228461588786,Range Market
2020-04-14,-1.2603008080026414,0.22207097154184596,-0.5624975206970257,157.74191216870767,0.786241271884662,Range Market
2020-04-15,-1.7925138822074471,-1.0565925901497801,0.4077448283681627,161.1833341583205,0.7852959974130599,Range Market
2020-04-16,2.664715255475979,-0.08528043849659922,1.4010960483573116,166.21677606333338,0.7825744598169516,Trend Market
2020-04-17,0.3713344528193837,0.06328817817788068,-0.6857108650345959,165.64062767561177,0.7843649861516928,Range Market
2020-04-22,1.3606786649474767,2.9817540465662744,-0.548738778251809,167.29368608499706,0.7813716382841746,Range Market
2020-04-23,0.4515121161345291,0.8716817556604399,-0.9831190845438428,167.16202586158673,0.7824013939157861,Range Market
2020-04-24,-0.5141602188076818,0.21720317089734978,-1.4845725170356499,183.08489920154045,0.7835975597009729,Range Market
2020-04-27,-0.7815134852623509,-0.49977326537382527,1.3621095706075683,182.26099689455876,0.7848875373294163,Range Market
2020-04-28,-0.788210023715461,-0.4409592244271099,-0.8521698731935239,172.20447744609905,0.7841936783498655,Range Market
2020-04-29,-0.816727469758442,1.479292180910807,-0.6629461504317291,164.4940102726288,0.7839816591989147,Range Market
2020-04-30,-0.87842014294844,0.580666954244737,-1.3589047188430448,157.13758797718174,0.784419847925375,Range Market
2020-05-01,-0.5098233819989648,-0.10951742615456889,0.5852640399248588,163.07580881856785,0.7911344367024146,Range Market
2020-05-04,0.8555374867376503,0.6534592265148992,2.1579102974671254,155.85573211885745,0.7918276419178706,Inflation Shock
2020-05-05,0.2885347859576228,0.9392194999125645,-1.417974398551979,149.17392995610174,0.7926737682311608,Range Market
2020-05-06,0.7687820386427484,-0.09073225953471498,-0.8209557157136699,147.78811412411466,0.7938241685913446,Range Market
2020-05-07,0.9683725670718377,0.20542037954737288,0.9376002183238018,154.40786994348872,0.794298972752015,Range Market
2020-05-08,-1.4440270088038707,0.7429748999092716,-1.9576016503684663,153.40965310910516,0.794252307687854,Range Market
2020-05-11,-0.2882934071335267,-0.04099116266730063,-0.8198467377821443,148.26604023639442,0.7947012636820462,Range Market
2020-05-12,1.2777711160938399,-0.32407468015030994,0.35964560868275375,149.00042741947874,0.7933993704804833,Range Market
2020-05-13,-0.16002184178120676,-0.29441564081652677,1.030768403458437,156.69850298860257,0.7937040661392438,Range Market
2020-05-14,0.15707759462039578,0.6517937009903227,-0.17872560948137106,160.68174078950935,0.7936066475082278,Range Market
2020-05-15,0.1835554666322453,0.6112560367227553,-0.9270238078246428,160.0393374414233,0.7934981322889719,Range Market
2020-05-18,0.8563864534215553,1.3336354706111615,0.6912406174712373,157.34597129620892,0.792151927530526,Range Market
2020-05-19,-1.8467786340500507,-0.11748580236871609,-1.5567210335009958,113.5458923328882,0.7924465834055041,Range Market
2020-05-20,-0.2868550884083255,0.19528182960879448,-0.4213843036632269,111.81604897088825,0.7933174578612069,Range Market
2020-05-21,-1.089945976156004,-0.27392308028335594,0.052918830327565045,111.94169898407637,0.7935680466039913,Range Market
2020-05-22,0.7940717304878105,-0.051095077147721546,-0.06534054119536643,101.58425877141143,0.794484992162138,Range Market
2020-05-25,0.6573527644692801,-0.061015125839538734,0.09915840393257261,97.7171713633966,0.7943517744331721,Range Market
2020-05-26,-0.036719023790954805,0.1887233822122842,-0.4459640821882559,100.84880360108895,0.7919352213484024,Range Market
2020-05-27,2.528368737008973,-0.027459778907263532,-1.0675159523627473,103.81394075898015,0.786858674268009,Trend Market
2020-05-28,-0.40797289812361986,0.21298175252655563,-0.19613132507153383,92.67221158496068,0.7847702340809847,Range Market
2020-05-29,-1.1224311943283338,0.21068242600562426,0.5181725736218711,93.62849142724781,0.784024015513407,Range Market
2020-06-01,0.6746035678585761,0.12821285160349177,0.047762601850299055,95.86961920915701,0.7831591525601612,Range Market
2020-06-02,1.6702719192323257,-0.11867132256733659,-2.0128571779839777,93.5562215097575,0.7840413673004751,Range Market
2020-06-03,0.9319920165433274,-0.6068806107973408,1.2294988496093606,77.3076823994783,0.7850661498758251,Range Market
2020-06-04,0.39336462766769364,0.38899735424968107,0.20837726594396805,76.28662873485531,0.7854674042088877,Range Market
2020-06-05,1.0940673657565574,0.8378924338432853,1.2082725420375846,73.76622518607604,0.7922131423822649,Range Market
2020-06-08,0.33013720215688236,-0.911083291405089,-0.0714751132858518,70.83483613109101,0.790381169912698,Range Market
2020-06-09,0.8971433548619048,0.11221975571540921,-1.0180727815506385,65.45415844094885,0.7895285802713948,Range Market
2020-06-10,0.20920231227235356,0.5148943806951156,-1.3550465109598695,67.20441574989611,0.7910207944849115,Range Market
2020-06-11,0.9821528538035702,0.7606446666990687,-2.946000888716695,65.65258433394236,0.792050032738185,Range Market
2020-06-12,-2.5010088291670085,0.4622942460289525,-1.282545211159529,58.88523966825983,0.7987915991322568,Crisis
2020-06-15,-1.6554551622958238,0.3071272819327867,0.8141781750324268,54.40583080450381,0.8017855242209894,Range Market
2020-06-16,1.7830006063112966,1.8459665462672923,0.4843444401770697,45.25326142888112,0.8106829511879919,Range Market
2020-06-17,-1.5200367041514997,-0.9825598169504932,-0.5744248933510099,43.939821277162814,0.8124082898301511,Range Market
2020-06-18,-0.35498374238634356,-1.3495314988489255,0.03832343439228236,43.429272592010335,0.8102245157445821,Range Market
2020-06-19,-1.7655562951241146,-0.4059593566766714,-0.21743718021184555,44.17759551795357,0.8083680796462641,Range Market
2020-06-22,-1.2646742702619451,-0.42113910934505205,0.3284684240082746,43.913891601029135,0.7941956676316243,Range Market
2020-06-23,3.0653271689176464,0.3391186411527539,0.1775795981586557,35.461420179208574,0.8167386960261903,Trend Market
2020-06-24,0.623692365539039,-1.8809698807190027,-0.01953934605444474,31.62756305305492,0.8178510765186041,Liquidity Expansion
2020-06-25,-2.8429419450426985,0.5089258570465679,-0.07326261856042161,33.76430993793973,0.815094658817984,Crisis
2020-06-26,-0.025749458458451654,-1.0427130646025955,1.2972178913536663,38.483099620477084,0.8136257854497814,Range Market
2020-06-29,-1.1047463747667294,0.015352767027480868,-0.7464794152196915,37.77803900999645,0.8161046015214359,Range Market
2020-06-30,-0.5948380643328579,1.1075473524700419,0.48764932600967237,38.80973688182617,0.8157743971249822,Range Market
